ID,Age at admission,Gender,Governorates,Country,Previous School,Scholarship,SAT,EEE,GPA,Performance,Attempted hours,Earned hours
201103949,18,F,Mount Lebanon,Lebanon,"Carmel St.Joseph, Meshref",Yes,940.0,0.0,83.6,Pass,15,15
201101426,18,F,Mount Lebanon,Lebanon,Jesus & Mary School,Yes,1180.0,0.0,71.4,Pass,15,15
201101428,19,F,Beirut,Lebanon,Jesus & Mary School,Yes,1260.0,0.0,71.2,Pass,15,15
201101438,19,F,Mount Lebanon,Lebanon,Jesus & Mary School,Yes,1100.0,0.0,75.8,Pass,15,15
201101441,18,F,Mount Lebanon,Lebanon,Jesus & Mary School,Yes,1290.0,0.0,81.5,Pass,15,9
201103557,18,M,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1090.0,0.0,78.6,Pass,15,15
201103553,18,F,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1020.0,0.0,79.6,Pass,15,15
201103422,18,F,Mount Lebanon,Lebanon,"Rawdah H.Sch., Beirut",Yes,970.0,0.0,81.2,Pass,15,12
201103403,18,M,Beirut,Lebanon,"Rawdah H.Sch., Beirut",Yes,1110.0,0.0,67.5,Fail,15,3
201104018,19,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1110.0,0.0,70.6,Pass,15,15
201103844,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1140.0,0.0,90.0,Pass,15,15
201103835,18,F,Mount Lebanon,Lebanon,"Int'l College, Ras Beirut",Yes,1110.0,0.0,71.8,Pass,15,15
201103831,18,M,Mount Lebanon,Lebanon,"Int'l College, Ras Beirut",Yes,1360.0,0.0,74.0,Pass,15,15
201103889,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1200.0,0.0,82.0,Pass,15,15
201103887,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1180.0,0.0,80.4,Pass,15,9
201103885,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1050.0,0.0,82.0,Pass,15,12
201103878,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1170.0,453.0,73.5,Pass,15,12
201104447,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1200.0,0.0,83.2,Pass,15,12
201104248,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1170.0,0.0,80.0,Pass,15,15
201103694,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1170.0,0.0,82.6,Pass,15,12
201103713,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1160.0,0.0,86.2,Pass,15,15
201103672,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1100.0,0.0,80.8,Pass,15,15
201104401,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1230.0,0.0,86.8,Pass,15,15
201104046,18,F,Beirut,Lebanon,"Col.Prot.Francais, Beirut",Yes,1040.0,0.0,70.5,Pass,15,15
201104043,18,M,Beirut,Lebanon,"Col.Prot.Francais, Beirut",Yes,1140.0,0.0,78.2,Pass,15,15
201104021,18,F,Beirut,Lebanon,"Col.Prot.Francais, Beirut",Yes,1150.0,0.0,79.0,Pass,15,15
201104158,18,M,Mount Lebanon,Lebanon,"Leb Evan Sch for B&G,Louaizeh",Yes,1110.0,0.0,84.0,Pass,15,15
201103280,18,F,Beirut,Lebanon,College Notre Dame de Nazareth,Yes,1100.0,0.0,72.8,Pass,15,12
201104135,19,F,Mount Lebanon,Lebanon,L'Athenee de Beyrouth,Yes,1080.0,0.0,70.6,Pass,15,15
201104132,19,M,Beirut,Lebanon,L'Athenee de Beyrouth,Yes,1090.0,0.0,74.2,Pass,15,9
201104105,18,F,Beirut,Lebanon,"Eastwood Col,Mansourieh",Yes,1030.0,505.0,78.2,Pass,15,12
201102970,18,F,Beirut,Lebanon,"St.Mary Orthodox Col,Beirut",Yes,1070.0,0.0,76.2,Pass,15,15
201102513,18,F,Beirut,Lebanon,Ross Sheppard High School,Yes,1170.0,0.0,83.2,Pass,15,12
201100867,18,F,Mount Lebanon,Lebanon,"Christian Teach.Institute,Hors",Yes,1150.0,0.0,74.0,Pass,15,15
201101499,18,M,Mount Lebanon,Lebanon,"College Louise Wegmann, Beirut",Yes,1120.0,0.0,74.5,Pass,15,12
201101483,18,F,Mount Lebanon,Lebanon,"College Louise Wegmann, Beirut",Yes,1040.0,0.0,80.4,Pass,15,15
201103129,18,F,Mount Lebanon,Lebanon,"Col.N.D. Srs.Antonines,Hazmieh",Yes,1150.0,0.0,78.6,Pass,15,15
201102336,19,M,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,No,1410.0,0.0,63.75,Fail,15,9
201102788,18,F,Beirut,Lebanon,"St.Mary Orthodox Col,Beirut",Yes,1080.0,0.0,78.2,Pass,15,15
201102790,18,F,Beirut,Lebanon,Al Bayader High School - Zarif,Yes,1260.0,0.0,75.0,Pass,15,9
201103950,18,F,North Lebanon,Lebanon,"Int'l Sch. of Choueifat,Koura",Yes,1150.0,0.0,77.8,Pass,15,15
